Dreamform sula, 367.8793082569304, 7
Ripper roo, 286.1721796717983, 3
Hakufu sonsaku, 414.6243882015881, 3
Jam(ac), 461.12925551013626, 4
Sihon, 284.0, 1
Omega tiger woods, 279.9681408717451, 5
Garmraid, 316.0, 1
Polnareff, 285.43566412691706, 3
Poison qyc, 283.3620333779823, 3
Mickey mouse ex, 304.38973673541466, 2
Omega god ryu, 461.8648300333347, 4
Raidou, 268.736306793522, 2
Blue mary rb, 268.736306793522, 5
Sa-tan, 316.0, 1
The thing, 284.11078369779165, 3
Sonic EX3, 262.23431750509974, 4
Kumoi ichirin, 374.3754889499399, 5
Task force aquaman, 284.02338664045055, 3
Shen EX2, 286.9651356305166, 3
Rin_tohsaka, 329.2237372503068, 4
Momo-len_ver1.39, 460.45756326009524, 4
Nono, 383.29760133664723, 5
Hyper neo-kamek, 429.86017952081244, 4
Nisego chaos, 384.0, 1
Guardian, 316.6701174078103, 3
Ryo 98, 272.81863220984343, 6
J.max, 265.42231082681076, 6
Michelangelo 0d, 313.10198042961264, 3
Ado, 332.0, 2
Shion-kofm, 284.0, 1
Shigen, 300.736306793522, 2
Ebisuemon, 316.0, 1
The dazzler, 245.8278203282017, 3
Leonardo EX, 200.0, 2
Shingo as, 370.16171617262637, 2
Redking, 386.02047126626786, 3
Cyborg_d-9f, 330.49688290879385, 2
Ar-chan, 300.736306793522, 2
Daigo ken, 301.19061154436065, 6
Koryuoh, 313.10044742671255, 3
Dash-hell, 400.736306793522, 2
Abyss EX, 471.6647190108897, 5
Chun-li jj, 331.263693206478, 2
Mixertaitei, 270.6322783008836, 4
Vice CVS, 199.22986018535727, 2
Keiji, 168.736306793522, 2
Runaway, 441.5981272395586, 5
Circuit-geese, 484.0, 1
Shin akuma dd, 416.0, 1
Dead kung fu man EX3, 400.736306793522, 2
Uppercut, 346.4673375685578, 5
Zangiefhd, 298.53049847102454, 2
Kamineko, 116.0, 1
Kano, 84.0, 1
Cody(neoneo), 316.0, 1
Suika_ibuki, 284.0, 1
Structure list, 391.63279127144443, 9
Extrahighfairy, 442.24826014817603, 5
Kamen rider ooo, 316.0, 1
Condor EX, 227.17740180784568, 5
Thunder mask, 346.5612260339534, 3
Silhouette, 284.0, 1
Raoh-jp, 331.26311460140073, 2
Adon sfa, 267.9660918698308, 2
Charlie, 200.736306793522, 2
Wario ssbb, 231.29753282747535, 2
Chang the red aqueous, 370.1312975069304, 6
Eni blackdragon, 369.50311709120615, 2
Pepe EX3, 383.96764751539297, 3
Lafiras, 428.6120732668012, 4
Joker paru, 316.0, 1
Jones ex, 316.5914088823142, 7
Nick commando EX FF, 452.42610485265607, 6
Yeorin lee, 354.06923764917644, 3
Chintao, 345.15744821066426, 3
Sheik_mahael, 284.0, 1
Thiele, 332.0, 2
Mo-mo-dainamaitu, 84.0, 1
Beavis, 116.0, 1
Saki omokane, 363.8616190291536, 2
Clone zero-kofm, 432.0339081301692, 2
Ramon-kofm, 399.263693206478, 2
Kazuya f, 389.60725121279023, 5
Yorihime watatsuki, 516.0, 1
Rouge unsou, 484.0, 1
Real Ryu, 316.0, 1
Dlanor a. knox, 256.8526062189575, 5
Killa and ren EX, 286.86625473659893, 3
Toyger, 311.7380556676773, 3
Footee, 317.92128276608923, 5
Shimo EX, 361.25763444853703, 4
Ninjaslayer, 284.0, 1
Nipponia nippon, 347.93388212677814, 3
Enero cvs, 300.03383302112076, 2
Freezer 4ta forma, 168.736306793522, 2
Syllin, 216.0, 1
F91, 270.1632457797655, 2
Hercules, 316.0, 1
Gargoyle2, 300.736306793522, 2
Rai ex, 299.263693206478, 2
Kamehameha, 297.19136168660503, 4
Ramon 71113, 284.0, 1
Cure blossom, 368.736306793522, 2
Kaname, 424.6570826535385, 8
Strike freedom nitori, 391.244597900416, 5
Dj.captain.cat.kit, 316.0, 1
Duo lon pp, 284.0, 1
Daimajin, 184.0, 1
Peketo EX3, 216.0, 1
Belmont trusdale, 216.0, 1
Frieza mvc, 182.49343212851687, 3
Cvssantamu, 230.5647884084143, 4
Jill valentine re3, 184.0, 1
Puppetmon, 184.0, 1
Galacta knight mvc, 231.263693206478, 2
The tick, 168.736306793522, 2
Bastion, 181.86146177277024, 3
The penguin, 186.1721796717983, 3
Batsu EX2, 216.0, 1
Unyuho, 270.4210485804895, 2
Tita russell, 316.0, 1
Katakura kojuro, 242.59246291032707, 61
Fluffy, 316.70239866335277, 3
M.bison mvc2, 368.7653338154527, 2
Sagat, 217.21666845384868, 5
Louise f.b.valliere, 475.051979162071, 24
Spera, 516.9114691659638, 9
Fluttershy, 269.4387739660466, 2
Mr_shihan_ky, 345.2111204885152, 9
Zenryoku, 284.0, 1
Mizuki rashoujin, 416.0339081301692, 1
Flygon, 299.77928606761895, 4
Gradriel, 331.263693206478, 2
Asuka EX2, 255.15858955163014, 5
Toy, 314.5875234450929, 3
Syanahime, 318.14678208647024, 5
Alien, 315.395583426306, 3
Carol stanzack, 254.17217967179826, 3
Yashiro EX6, 330.61633480815, 2
Kuronoa, 216.0, 1
Link (kid), 168.0, 2
Taokaka, 417.4678621748531, 5
Godmars, 458.3655848167706, 4
M.bison sf2ww, 359.72952611935403, 4
Mr.karate EX3, 254.17217967179826, 3
Frostman, 183.29753282747535, 1
Ibuki-toranoo, 284.0, 1
Zagan, 297.16927700518687, 4
Vivi_ornitier, 299.9692019468698, 4
Sim young gradation, 332.736306793522, 2
Gundam nataku, 300.15493430945406, 4
Omega svc, 302.1089508642239, 4
Extreme vegeta, 168.736306793522, 2
Kagura, 199.263693206478, 2
Yamamoto burai, 216.0, 1
Yuri di aaaaaa ex, 200.736306793522, 2
Sushie, 216.0, 1
Turles, 184.70239866335282, 3
Igdrasil munchausen, 400.736306793522, 2
Final dio, 412.4460967102282, 3
Nicholas d. wolfwood, 316.0, 1
Super gideon graves, 268.736306793522, 2
Akane inuwaka, 331.263693206478, 2
Divekick doom, 284.0, 1
Misaka mikoto EX2, 285.4387739660466, 3
New mechagodzilla, 314.59817111378305, 3
Gi gi, 234.93846729034107, 4
Venom GG, 327.8462973328566, 4
Earthquake, 213.76473540090524, 3
Remy sf3, 185.43877396604665, 3
Alex sf3, 300.70239866335277, 2
Arrange_ayu, 434.0156092661583, 4
Lf2 - firen, 313.1930578294337, 3
Tvc alex, 299.93381676529015, 4
Minori amanohara, 316.0, 1
Robo-ky XX, 416.734673623596, 3
Evil zangief hd, 448.97179072928634, 3
Blodia, 216.70239866335282, 3
Egg chamber, 229.19136168660503, 4
Charlotte Aulin, 268.736306793522, 2
Gosunkugi hikaru, 316.0, 1
Ken, 184.736306793522, 1
Fix-it felix, 199.263693206478, 2
Batman EX3, 200.736306793522, 2
Leonard carlyle, 418.82340095562336, 3
Corrupted shinnok, 416.0, 1
Ghetto warmachine, 268.77013981464273, 2
Frosty ninja, 317.3695937867166, 3
Mr.r, 384.0, 1
Toguro 101%, 434.16987136538614, 2
Inspector javert, 368.736306793522, 2
Mike Tyson IWBTG, 368.76858503909995, 4
Piccolo EX3, 296.41681715105136, 4
Aegis, 300.736306793522, 2
Gardener, 331.263693206478, 2
Ultraman dyna, 301.46950152897546, 2
Dorniar ex, 384.0, 1
Vega mvc2, 413.8278203282017, 3
Porky minch, 384.0, 1
Dlanor a. knox kb, 429.29104963630243, 4
M.raiga, 268.03383302112076, 2
Farah oersted, 273.5366219409502, 4
Alty garnet, 341.8945234651042, 5
Dom, 415.263693206478, 3
Wyvern, 386.20580832249743, 3
Sheana, 382.33335169848544, 3
Sonic mvc, 396.55586311049706, 4
Guilty, 168.736306793522, 2
Carmilla, 216.0, 1
Drigger, 316.706109803482, 3
Naitou ex, 299.263693206478, 2
Syuzo matsuoka, 198.53049847102452, 2
Puck-man, 190.20742196759016, 5
Taiga aisaka EX7, 284.19235608400885, 3
